施設名,分類,フリガナ,メール,電話番号,FAX番号,郵便番号,住所１,住所２,最終更新日
山川医院 ,病院・医院,ヤマカワイイン,yu-yamakawa@wind.ocn.ne.jp,0957-46-0020,0957-46-0235,859-3807,東彼杵郡東彼杵町彼杵宿郷93番地,,2026-05-28 10:11:56
医療法人　山本整形外科,病院・医院,イリョウホウジン　ヤマモトセイケイゲカ,yamataka@carrot.ocn.ne.jp,0956-82-2495,0956-82-2578,859-3615,東彼杵郡川棚町下組郷375-8,,2026-06-05 13:59:15
小鳥居内科・脳神経内科クリニック,病院・医院,コトリイナイカ　ノウシンケイナイカ,kotorii-clinic@car.ocn.ne.jp,0956-20-7027,0956-20-7037,859-3722,東彼杵郡波佐見町岳辺田郷469,,2026-04-24 13:36:14
医療法人　衷心会　小鳥居病院,病院・医院,イリョウホウジン　チュウシンカイ　コトリイビョウイン,kotorii.byouin@outlook.jp,0956-85-3408,0956-85-3407,859-3722,東彼杵郡波佐見町岳辺田郷778,,2026-04-24 16:48:20
松村内科・消化器科,病院・医院,マツムラナイカ　ショウカキカ,sonogi-isi002@touhi-ishikai.jp,0957-47-0709,0957-47-1475,859-3927,東彼杵郡東彼杵町駄地郷39-3番地,,2026-05-28 10:02:56
医療法人　圭光会　松尾医院,病院・医院,イリョウホウジン　ケイコウカイ　マツオイイン,matsk11@kzc.biglobe.ne.jp,0956-85-2001,0956-85-5396,859-3701,東彼杵郡波佐見町折敷瀬郷1709-1,,2026-05-25 09:22:18
西の原　野中医院,病院・医院,ニシノハラ　ノナカイイン,nonaka_c@po.saganet.ne.jp,0956-85-3054,0956-85-7204,859-3711,東彼杵郡波佐見町井石郷2234番地1,info@touhi-ishikai.jp,2026-05-13 19:04:49
独立行政法人国立病院機構　長崎川棚医療センター,病院・医院,ドクリツギョウセイホウジンコクリツビョウインキコウ　ナガサキカワタナイリョウセンター,kawatana-byouinn002@touhi-ishikai.jp,0956-82-3121,0956-83-3710,859-3615,東彼杵郡川棚町下組郷2005番地1,,2026-06-22 15:50:47
田渕医院,病院・医院,タブチイイン,stabuchi0828@yahoo.co.jp,0956-82-2111,0956-82-3092,859-3616,東彼杵郡川棚町白石郷7-8番地,,2026-03-20 23:59:51
藤下内科医院,病院・医院,フジシタナイカイイン,ohmrc82285@yahoo.co.jp,0956-85-7325,0956-85-7320,859-3725,東彼杵郡波佐見町長野郷538-1番地,,2026-04-24 15:32:10
波佐見病院,病院・医院,ハサミビョウイン,hasami.h2@vega.ocn.ne.jp,0956-85-7021,0956-85-7022,859-3726,東彼杵郡波佐見町稗木場郷792-1,,2026-05-22 10:43:42
八並整形外科・リハビリ科,病院・医院,ヤツナミセイケイゲカ　リハビリカ,hachinamimotoki@yahoo.co.jp,0956-85-5775,0956-85-5720,859-3724,東彼杵郡波佐見町志折郷2114-6番地,,2026-04-26 08:25:47
本川医院,病院・医院,モトカワイイン,motokawa2010@gmail.com,0956-82-2010,0956-82-2130,859-3614,東彼杵郡川棚町中組郷1489-1,,2026-04-13 12:20:26
医療法人さざなみ鈴木病院,病院・医院,イリョウホウジンサザナミスズキビョウイン,suzuki@sazanami.or.jp,0957-46-0145,0957-46-0255,859-3807,東彼杵郡東彼杵町彼杵宿郷1085,,2026-06-10 11:18:57
社会福祉法人交楽会　サービス付高齢者向け住宅いきいき,入所施設,シャカイフクシホウジンコウラクカイ　サービスツキコウレイシャムケジュウタクイキイキ,iki-iki@arion.ocn.ne.jp,0956-26-7388,0956-26-7516,859-3725,東彼杵郡波佐見町長野郷516-11,,2026-03-18 14:02:29
　住宅型有料老人ホーム　さちさち荘,入所施設,　ジュウタクガタユウリョウロウジンホーム　サチサチソウ,info2.jigyousyo@tomoayukai.jp,0956-85-7304,0956-37-8404,859-3725,東彼杵郡波佐見町長野郷746-1番,,2026-05-28 10:51:19
一般社団法人正和会　住宅型有料老人ホームなごみ荘,入所施設,イッパンシャダンホウジンセイワカイ　ジュウタクガタユウリョウロウジンホームナゴミソウ,seiwasmile5@gmail.com,0956-82-3885,0956-27-7211,859-3615,東彼杵郡川棚町下組郷399-3,,2026-04-03 12:49:20
介護サービス和株式会社  小規模多機能ホーム 侑和,デイサービス,カイゴサービスナゴミカブシキガイシャ　ショウキボタキノウホーム　ユワ,yuwa-nagomi753@hb.tp1.jp,0956-59-7638,0956-59-7639,859-3701,東彼杵郡波佐見町折敷瀬郷1024-1,,2026-04-13 12:21:34
デイサービスセンターはさみ園,デイサービス,デイサービスセンターハサミエン,hasamisou@airinkai-hasami.com,0956-85-4707,0956-85-6138,859-3726,東彼杵郡波佐見町稗木場郷796-3,,2026-04-13 16:17:01
社会福祉法人　長崎厚生福祉団 特別養護老人ホームくじゃくの家,入所施設,シャカイフクシホウジン　ナガサキコウセイフクシダン　トクベツヨウゴロウジンホームクジャクノイエ,kujakunoie@nagasaki-kouseifukushidan.or.jp,0956-82-5181,0956-82-5382,859-3618,東彼杵郡川棚町小串郷358-1,,2026-04-13 13:36:53
社会福祉法人愛隣会特別養護老人ホームはさみ荘（広域型）,入所施設,シャカイフクシホウジンアイリンカイ　トクベツヨウゴロウジンホームハサミソウ　コウイキガタ,hasamisou@airinkai-hasami.com,0956-85-4598,0956-85-6138,859-3726,東彼杵郡波佐見町稗木場郷794-1,,2026-04-13 16:08:42
社会福祉法人愛隣会特別養護老人ホームはさみ荘（地域密着型）,入所施設,シャカイフクシホウジンアイリンカイ　トクベツヨウゴロウジンホームハサミソウ　チイキミッチャクガタ,hasamisou@airinkai-hasami.com,0956-85-4598,0956-85-6138,859-3726,東彼杵郡波佐見町稗木場郷794-1,,2026-04-13 16:11:03
（社会福祉法人もみの木会） 特別養護老人ホーム　もみの木荘,入所施設,シャカイフクシホウジンモミノキカイ　トクベツヨウゴロウジンホーム　モミノキソウ,kawasaki@mominoki-kai.com,0957-47-1231,0957-47-1566,859-3929,東彼杵郡東彼杵町里郷2435番地,,2026-03-27 16:41:04
株式会社ＫＮ企画　ハッピーガーデン川棚,入所施設,カブシキガイシャケーエヌキカク　ハッピーガーデンカワタナ,kn.happy.garden.kawatana@gmail.com,0956-82-5850,0956-82-3115,859-3607,東彼杵郡川棚町城山町122-1,,2026-05-13 11:44:39
養護老人ホームひさご荘,入所施設,ヨウゴロウジンホームヒサゴソウ,touhi-hisagosou@cotton.ocn.ne.jp,0956-82-4811,0956-27-7411,859-3616,東彼杵郡川棚町白石郷7-134,info@touhi-ishikai.jp,2026-03-19 10:39:34
有限会社　みつたけ薬局,調剤薬局,ユウゲンガイシャ　ミツタケヤッキョク,qqgd4kh79@lake.ocn.ne.jp,0956-82-6183,0956-82-6778,859-3616,東彼杵郡川棚町白石郷7-130,,2026-06-15 14:21:02
あじさい薬局,調剤薬局,アジザイヤッキョク,azisai-hirakawa@herb.ocn.ne.jp,0956-85-7839,0956-85-7218,859-3725,東彼杵郡波佐見町長野郷511番地,,2026-06-18 10:31:55
そのぎ薬局,調剤薬局,ソノギヤッキョク,sonogi-pharmacy@clock.ocn.ne.jp,0957-46-0001,0957-46-0121,859-3808,東彼杵郡東彼杵町蔵本郷1716-7,,2026-03-16 16:54:56
トラスト調剤薬局,調剤薬局,トラストチョウザイヤッキョク,hasamitrust@yahoo.co.jp,0956-85-2355,0956-85-2355,859-3711,東彼杵郡波佐見町井石郷2234-2,,2026-03-16 16:52:36
（有限会社M・Tファーマシー）　ハーモニー薬局,調剤薬局,ユウゲンガイシャエムティーファーマシー　ハーモニーヤッキョク,harmony-yakkyoku@kza.biglobe.ne.jp,0956-20-7933,0956-20-7934,859-3702,東彼杵郡波佐見町湯無田郷128-13,,2026-06-15 14:47:38
はさみ薬局,調剤薬局,ハサミヤッキョク,hasami-pharmacy@song.ocn.ne.jp,0956-85-7973,0956-85-7974,859-3701,東彼杵郡波佐見町折敷瀬郷1706-2,,2026-06-09 11:10:15
むらおか薬局,調剤薬局,ムラオカヤッキョク,spyv5k79@honey.ocn.ne.jp,0956-85-7626,0956-85-7626,859-3726,東彼杵郡波佐見町稗木場郷66-12,,2026-06-15 14:28:51
有限会社岩永ファーマシー　岩永薬局,調剤薬局,ユウゲンガイシャイワナガファーマシー　イワナガヤッキョク,iwanagapharma@outlook.jp,0956-85-7885,0956-85-7886,859-3724,東彼杵郡波佐見町志折郷1969-12,,2026-04-13 14:18:20
小松ふれあい薬局,調剤薬局,コマツフレアイヤッキョク,k-fureai@sea.plala.or.jp,0956-82-6781,0956-82-6785,859-3615,東彼杵郡川棚町下組郷380-1,,2026-05-13 10:45:10
(株)エム、エス、ファーマシー　川棚中央薬局,調剤薬局,カブエムエスファーマシー　カワタナチュウオウヤッキョク,spsh3th9@tempo.ocn.ne.jp,0956-83-2802,0956-83-3002,859-3615,東彼杵郡川棚町下組郷389-6,,2026-06-15 14:24:57
中原調剤薬局,調剤薬局,ナカハラチョウザイヤッキョク,e-tomo0216@apricot.ocn.ne.jp,0956-85-6181,0956-85-7395,859-3725,東彼杵郡波佐見町長野郷2245-1,,2026-03-18 17:35:02
（株式会社たけべた薬局）波佐見たけべた薬局,調剤薬局,カブシキガイシャタケベタヤッキョク　ハサミタケベタヤッキョク,qqfz33v9n@sound.ocn.ne.jp,0956-27-6120,0956-27-6123,859-3722,東彼杵郡波佐見町岳辺田郷141-4,,2026-06-05 08:44:06
いわぬま歯科医院,歯科医院,イワヌマシカイイン,gwan2507@yahoo.co.jp,0956-85-5348,0956-85-5348,859-3715,東彼杵郡波佐見町宿郷615,,2026-06-12 10:12:24
なかはら歯科,歯科医院,ナカハラシカ,yuuji-dental.sp@rice.ocn.ne.jp,0956-56-6677,0956-56-7077,859-3725,東彼杵郡波佐見町長野郷2231-4,,2026-06-15 14:40:04
なか歯科医院,歯科医院,ナカシカイイン,nakashika471267@yahoo.co.jp,0957-47-1267,0957-47-1262,859-3808,東彼杵郡東彼杵町蔵本郷1830-2,,2026-06-09 11:37:34
はいき歯科医院,歯科医院,ハイキシカイイン,haikishika@biscuit.ocn.ne.jp,0956-85-5309,0956-85-5363,859-3725,東彼杵郡波佐見町長野郷480-1,,2026-06-09 11:37:00
むらかみ歯科医院,歯科医院,ムラカミシカイイン,kenji.35@arion.ocn.ne.jp,0956-82-6222,0956-82-6287,859-3618,東彼杵郡川棚町小串郷2176-4,,2026-06-09 11:25:41
やまさき歯科医院,歯科医院,ヤマサキシカイイン,yamasaki-shika@sea.plala.or.jp,0957-46-0545,0957-46-0545,859-3807,東彼杵郡東彼杵町彼杵宿郷453-3,,2026-03-24 11:37:15
やまべ歯科医院,歯科医院,ヤマベシカイイン,s-yan@mte.biglobe.ne.jp,0956-20-7770,0956-59-5936,859-3715,東彼杵郡波佐見町宿郷127番地4,,2026-04-14 07:31:02
医療法人　山本歯科医院,歯科医院,イリョウホイジン　ヤマモトシカイイン,e-yamamoto@alpha.ocn.ne.jp,0956-83-3811,0956-83-3811,859-3605,東彼杵郡川棚町百津郷390-5,,2026-03-21 23:43:15
医療法人　慶樹会　大安歯科医院,歯科医院,イリョウホウジン　ケイジュカイ　ダイアンシカイイン,daianden@sea.plala.or.jp,0957-49-3337,0957-49-3338,859-3808,東彼杵郡東彼杵町蔵本郷1631-3,,2026-04-20 10:59:25
中尾ファミリー歯科,歯科医院,ナカオファミリーシカ,nakao.family.dental@gmail.com,0956-82-2031,0956-82-2031,859-3616,東彼杵郡川棚町白石郷7-16,,2026-05-16 10:03:29
尾崎歯科,歯科医院,オザキシカイイン,odo.ryuho3@rapid.ocn.ne.jp,0956-82-2247,0956-82-2260,859-3615,東彼杵郡川棚町下組郷33-1,,2026-06-09 11:13:49
医療法人　片渕歯科,歯科医院,イリョウホウジン　カタフチシカ,sp7g3mt9@lagoon.ocn.ne.jp,0956-85-6480,0956-85-4611,859-3701,東彼杵郡波佐見町折敷瀬郷1710-2,,2026-06-09 11:13:03
林歯科,歯科医院,ハヤシシカ,hasami-sika002@touhi-ishikai.jp,0956-85-3086,0956-85-4125,859-3702,東彼杵郡波佐見町湯無田郷1131,,2026-06-09 11:14:04
（有）エンジョイライフ指定居宅介護支援事業所,居宅介護支援事業所,ユウエンジョイライフ　シテイキョタクカイゴシエンジギョウショ,feelthe7moon@gmail.com,0956-85-6429,0956-56-8850,859-3701,東彼杵郡波佐見町折敷瀬郷2057番地,feelthe7moon@gmail.com,2026-04-13 17:03:47
ケアプランセンターはなもも,居宅介護支援事業所,ケアプランセンターハナモモ,hanamomo@kohno-iin.jp,0956-20-7556,0956-56-7739,859-3702,東彼杵郡波佐見町湯無田郷128-14,,2026-04-13 08:58:56
なかはら居宅介護支援事業所,居宅介護支援事業所,ナカハラキョタクカイゴシエンジギョウショ,mimizuku22451@mist.ocn.ne.jp,0956-85-3893,0956-85-7395,859-3725,東彼杵郡波佐見町長野郷2245-1,,2026-04-14 09:05:25
株式会社　九州たまがわ　ハートフルたまがわ 　そのぎステーション,居宅介護支援事業所,カブシキカイシャ　キュウシュウタマガワ　ハートフルタマガワ　ソノギステーション,heart-k@9tama.co.jp,0957-47-1191,0957-47-1283,859-3806,東彼杵郡東彼杵町三根郷893番地1,,2026-04-15 10:55:28
社会福祉法人愛隣会　居宅介護支援事業所はさみ荘,居宅介護支援事業所,シャカイフクシホウジンアイリンカイ　キョタクカイゴシエンジギョウショハサミソウ,kyotakuhasamisou4598@yahoo.co.jp,0956-85-4598,0956-85-6138,859-3726,東彼杵郡波佐見町稗木場郷794番地1,,2026-04-13 16:23:27
一般社団法人正和会　居宅介護支援事業所もとかわ,居宅介護支援事業所,イッパンシャダンホウジンセイワカイ　キョタクカイゴシエンジギョウショモトカワ,motokawa@seiwasmile.com,0956-82-4000,0956-82-2600,859-3615,東彼杵郡川棚町下組郷397,,2026-04-13 16:30:39
川棚町社会福祉協議会 居宅介護支援事業所,居宅介護支援事業所,カワタナチョウシャカイフクシキョウギカイ　キョタクカイゴシエンジギョウショ,shakyotaku@kawatana.jp,0956-26-6118,0956-82-2087,859-3615,東彼杵郡川棚町下組郷338番地57,,2026-03-16 16:53:38
川棚町地域包括支援センター,居宅介護支援事業所,カワタナチョウチイキホウカツシエンセンター,choujyu@town.kawatana.lg.jp,0956-59-5886,0956-82-3134,859-3692,東彼杵郡川棚町中組郷1518-1,,2026-07-13 15:02:41
東彼杵町居宅介護支援事業所,居宅介護支援事業所,ヒガシソノギチョウキョタクカイゴシエンジギョウショ,sonogi@fukushi-net.or.jp,0957-46-1900,0957-46-1594,859-3807,東彼杵郡東彼杵町彼杵宿郷706番地4,,2026-03-17 18:44:33
東彼杵町地域包括支援センター,居宅介護支援事業所,ヒガシソノギチョウチイキホウカツシエンセンター,houkatsu@town.higashisonogi.lg.jp,0957-46-1173,0957-20-1029,859-3807,東彼杵郡東彼杵町彼杵宿郷706-4（東彼杵町総合会館2階　保健センター内）,,2026-04-07 14:09:32
波佐見居宅介護支援事業所,居宅介護支援事業所,ハサミチョウキョタクカイゴシエンジギョウショ,care-mgr@hasami-shakyo.jp,0956-37-6151,0956-85-7428,859-3725,東彼杵郡波佐見町長野郷173-2,,2026-04-01 15:32:11
波佐見町地域包括支援センター,居宅介護支援事業所,ハサミチョウチイキホウカツシエンセンター,kaigohoken@town.hasami.lg.jp,0956-85-2976,0956-85-8161,859-3715,東彼杵郡波佐見町宿郷660番地,,2026-06-04 14:16:01
指定居宅支援事業所 　訪問看護ステーションかけはし,居宅介護支援事業所,シテイキョタクカイゴシエンジギョウショ　ホウモンカンゴステーションカケハシ,kakehasi@sazanami.or.jp,0957-47-0059,0957-47-1006,859-3807,東彼杵郡東彼杵町彼杵宿郷1085,,2026-05-14 09:25:30
訪問看護ステーションかけはし,訪問看護ステーション,ホウモンカンゴステーションカケハシ,kakehasi@sazanami.or.jp,0957-47-0059,0957-47-1006,859-3807,東彼杵郡東彼杵町彼杵宿郷1085番地,,2026-03-25 09:00:20
医療法人優和会　訪問看護ステーションきりん,訪問看護ステーション,イリョウホウジンユウワカイ　ホウモンカンゴステーションキリン,kirin.yuuwakai2023@gmail.com,0956-20-7558,0956-20-7557,859-3702,東彼杵郡波佐見町湯無田郷128番地14,,2026-04-20 09:24:13
訪問看護ステーションさくらそう,訪問看護ステーション,ホウモンカンンゴステーションサクラソウ,sakurasou@aroma.ocn.ne.jp,0956-37-6812,0956-37-6822,859-3615,東彼杵郡川棚町下組郷2005-1番地,,2026-04-10 10:46:56
株式会社　九州たまがわ　ハートフルケアたまがわ　はいきステーション,訪問介護,カブシキガイシャ　キュウシュウタマガワ　ハートフルケアタマガワ　ハイキステーション,heart-h@9tama.co.jp,0956-26-5231,0956-26-5098,859-3214,佐世保市権常寺1丁目4番10号　メイノスビル2F,info@touhi-ishikai.jp,2026-04-15 11:02:42
ハッピガーデン川棚　ヘルパーステーション,訪問介護,ハッピガーデンカワタナ　ヘルパーステーション,kn.happy.garden.kawatana@gmail.com,0956-82-5850,0956-82-3115,859-3607,東彼杵郡川棚町城山町122番地1,,2026-04-13 15:40:23
社会福祉法人あゆみ会　ホームヘルプコスモス,訪問介護,シャカイフクシホウジンアユミカイ　ホームヘルプコスモス,,0957-46-1559,0957-46-1888,859-3807,東彼杵郡東彼杵町彼杵宿郷549-1,,2026-05-28 12:09:20
長崎部品株式会社介護支援サービス「さわやか」,訪問介護,ナガサキブヒンカブシキガイシャカイゴシエンサービスサワヤカ,takahiro.masuyama.kw@jp.yazaki.com,0957-47-1240,0957-47-1210,859-3806,東彼杵郡東彼杵町三根郷字東舞山286-5,,2026-05-27 11:05:07
川棚町社会福祉協議会　訪問介護事業所,訪問介護,カワタナチョウフクシキョウギカイ　ホウモンカイゴジギョウショ,shakyotaku@kawatana.jp,0956-82-2121,0956-82-2087,859-3615,東彼杵郡川棚町下組郷338番地57,,2026-05-28 10:31:55
波佐見ホームヘルプサービス事業所,訪問介護,ハサミホームヘルプサービスジギョウショ,helper@hasami-shakyo.jp,0956-85-2240,0956-85-7428,859-3725,東彼杵郡波佐見町長野郷173-2,,2026-05-14 11:49:51
訪問介護事業所こころ,訪問介護,ホウモンカイゴジギョウショココロ,info2.jigyousyo@tomoayukai.jp,0956-30-8000,0956-30-7081,859-3152,佐世保市新行江町1053-1,,2026-05-28 10:47:42
福祉タクシー彩,福祉タクシー,フクシタクシーイロドリ,,0956-55-5348,0956-55-4601,859-3203,佐世保市陣の内町869-25,,2026-06-22 15:49:20
福祉タクシー紫陽花,福祉タクシー,フクシタクシーアジサイ,ajisai.bon1357@gmail.com,0120-857-294,0956-85-8666,859-3722,東彼杵郡波佐見町岳辺田郷1087,,2026-06-10 10:19:05
訪問介護事業所　介護福祉タクシーなついろ,福祉タクシー,ホウモンカイゴジギョウショ　カイゴフクシタクシーナツイロ,go-kenshin@titan.ocn.ne.jp,0956-76-9882,0956-76-9885,859-3618,東彼杵郡川棚町小串郷2684番地1,,2026-04-13 12:53:01
相談支援センター　あしすと,障害者福祉相談支援,ナガサキケンチテキショウガイシャフクシキョウカイソウダンシエンセンター　アシスト,assist@jikouen.or.jp,0956-82-2136,0956-82-2710,859-3618,東彼杵郡川棚町小串郷1974,,2026-06-15 15:04:35
東彼地区障がい者支援センター　エール,障害者福祉相談支援,トウヒチクショウガイシャシエンセンター　エール,touhichiku-eul@seagreen.ocn.ne.jp,0956-27-7272,0956-82-5001,859-3615,東彼杵郡川棚町下組郷405-1,,2026-04-14 09:48:33
相談支援事業所マイステージ,障害者福祉相談支援,トクテイヒエイリホウジンタイジュカイ　ソウダンシエンジギョウショマイステージ,mystage.taijyukai@gmail.com,0956-76-7176,0956-76-7189,859-3702,東彼杵郡波佐見町湯無田郷1347-1,,2026-04-13 12:19:17
社会福祉法人あゆみ会　相談支援よつば,障害者福祉相談支援,シャカイフクシホウジンアユミカイ　ソウダンシエンヨツバ,yotuba_46_1812@yahoo.co.jp,0957-46-1812,0957-46-1812,859-3807,東彼杵郡東彼杵町彼杵宿郷524番地,,2026-05-28 12:06:36
訪問型サービスＣ事業 『 自宅でしゅ～で 』,各町の介護予防事業,ホウモンガタサービスシージギョウ　ジタクデシューデ,choujyu@town.kawatana.lg.jp,0956-59-5886,--,859-3614,東彼杵郡川棚町中組郷1518-1,,2025-04-23 14:31:23
通所型サービスＣ事業 　 短期リハビリ『しゅ～で』,各町の介護予防事業,ツウショガタサービスシージギョウ　タンキリハビリシューデ,choujyu@town.kawatana.lg.jp,0956-59-5886,--,859-3605,東彼杵郡川棚町百津郷１６２番地,,2026-07-13 15:02:09
一般介護予防事業 『 水中はじめて教室～ゆったりコース 』,各町の介護予防事業,イッパンカイゴヨボウジギョウ　スイチュウハジメテキョウシツ,choujyu@town.kawatana.lg.jp,0956-59-5886,--,859-3618,東彼杵郡川棚町小串郷272,,2026-07-13 15:01:51
通所型サービスC事業　はつらつ教室,各町の介護予防事業,ツウショガタサービスシージギョウ　ハツラツキョウシツ,houkatsu@town.higashisonogi.lg.jp,0957-46-1173,--,859-3807,東彼杵郡東彼杵町彼杵宿郷706-4（東彼杵町総合会館2階　保健センター内）,,2026-04-07 14:07:01
介護予防普及啓発事業　よんなっせ,各町の介護予防事業,カイゴヨボウフキュウケイハツジギョウ　ヨンナッセ,houkatsu@town.higashisonogi.lg.jp,0957-46-1173,0957-20-1029,859-3807,東彼杵郡東彼杵町彼杵宿郷706-4（東彼杵町総合会館2階　保健センター内）,,2026-04-07 14:05:19
くじゃくの家デイサービスセンター,デイサービス,クジャクノイエデイサービスセンター,kujakunoie@nagasaki-kouseifukushidan.or.jp,0956-82-5181,0956-82-5382,859-3618,東彼杵郡川棚町小串郷358,,2026-04-13 13:22:43
デイサービスセンターいきいき,デイサービス,デイサービスセンターイキイキ,iki-iki@arion.ocn.ne.jp,0956-26-7388,0956-26-7516,859-3725,東彼杵郡波佐見町長野郷516-11,,2026-03-18 13:57:37
デイサービスセンター銀のらくだ,デイサービス,デイサービスセンターギンノラクダ,ginraku@lagoon.ocn.ne.jp,0956-20-7505,0956-20-7555,859-3702,東彼杵郡波佐見町湯無田郷128-5,,2026-03-21 14:51:33
デイサービスセンター和家,デイサービス,デイサービスセンターワカ,waka@seiwasmile.com,0956-27-7878,0956-27-7788,859-3614,東彼杵郡川棚町中組郷1292番地1,,2026-03-25 14:42:26
一般社団法人正和会　デイサービスセンターだんらん,デイサービス,イッパンシャダンホウジンセイワカイ　デイサービスセンターダンラン,seiwakai@seiwasmile.com,0956-20-6825,0956-20-6822,859-3615,東彼杵郡川棚町下組郷397番地,info@touhi-ishikai.jp,2026-04-03 12:43:27
デイサービスのんの,デイサービス,デイサービスノンノ,day-nonno@ia9.itkeeper.ne.jp,0957-46-0078,0957-46-0078,859-3808,東彼杵郡東彼杵町蔵本郷1232-1,,2026-04-19 15:38:49
ハッピーガーデン川棚　デイサービスセンター,デイサービス,ハッピーガーデンカワタナ　デイサービスセンター,kn.happy.garden.kawatana@gmail.com,0956-82-5850,0956-82-3115,859-3607,東彼杵郡川棚町城山町122番地1,,2026-05-13 11:38:02
有料老人ホームなごみ（住宅型）,入所施設,ユウリョウロウジンホームナゴミ,nagomi0753@woody.ocn.ne.jp,0956-85-8753,0956-85-7538,859-3702,東彼杵郡波佐見町湯無田郷933-6,,2026-06-25 12:27:54
川棚町社会福祉協議会　通所介護事業所,デイサービス,カワタナシャカイフクシキョウギカイ　ツウショカイゴジギョウショ,shakyotaku@kawatana.jp,0956-82-2121,0956-82-2087,859-3615,東彼杵郡川棚町下組郷338番地57,,2026-05-13 11:30:26
東彼杵町通所介護事業所,デイサービス,ヒガシソノギチョウツウショカイゴジギョウショ,sonogi3@fukushi-net.or.jp,0957-47-1076,0957-46-1594,859-3807,東彼杵郡東彼杵町彼杵宿郷706番地4,,2026-05-28 09:53:26
認知症対応型デイサービスセンターひだまり,デイサービス,ニンチショウタイオウガタデイサービスセンターヒダマリ,grouphome-hidamari@s8.dion.ne.jp,0956-26-7311,0956-26-7312,859-3725,東彼杵郡波佐見町長野郷380-17,,2026-05-13 11:37:16
老人デイサービスセンター　もみの木荘,デイサービス,ロウジンデイサービスセンター　モミノキソウ,kawasaki@mominoki-kai.com,0957-47-1592,0957-47-1566,859-3929,東彼杵郡東彼杵町里郷2435,,2026-03-27 16:43:48
くじゃくの家ショートステイセンター,ショートステイ,クジャクノイエショートステイセンター,kujakunoie@nagasaki-kouseifukushidan.or.jp,0956-82-5181,0956-82-5382,859-3618,東彼杵郡川棚町小串郷358,,2026-04-13 13:22:17
ショートステイ　ほのぼの,ショートステイ,ショートステイ　ホノボノ,honobono@peach.ocn.ne.jp,0957-47-1101,0957-47-0102,859-3929,東彼杵郡東彼杵町里郷2343-2,,2024-06-18 16:12:32
社会福祉法人愛隣会特別養護老人ホームはさみ荘,ショートステイ,シャカイフクシホウジンアイリンカイ　トクベツヨウゴロウジンホームハサミソウ,hasamisou@airinkai-hasami.com,0956-85-4598,0956-85-6138,859-3726,東彼杵郡波佐見町稗木場郷794番地1,,2026-04-13 16:14:04
