商品名,価格,原価,カテゴリ番号,販売ステータス（1:販売中、0:販売中止）,サイズ,商品説明,タグ,リストへの表示（1:表示、:非表示）,販売時期（コロン区切りで1～12月。1:販売、0:休止),在庫管理（1:在庫管理する、0:在庫管理なし）,最小注文数,最大注文数,定番商品(1:定番商品、0:特別商品）,発送所要日数,販売日数（特別商品の場合は何日後まで販売するか）,単位,SKUコード（商品ごとに別のもの）
お供えスタンド,43200,,4,1,200cm×150cm,２段に活けこみをした御供えスタンド花です。こちらは１対ごとのご注文になります。,ご葬儀 法事　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,対,oma-os21000-2
お供えスタンド,32400,,4,1,200cm×150cm,スタンダードな御供えのスタンド花です。こちらは１対ごとの注文になります。,ご葬儀 法事　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,対,oma-os15750-2
お供えスタンド,32400,,4,1,220cm×150cm,３段に活けこみをした迫力のある御供えのスタンド花です。,ご葬儀 法事　ミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,基,oma-os31500
お供えスタンド,27000,,4,1,200cm×150cm,花のボリュームを増やした２段のスタンド花です。,ご葬儀 法事　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,基,oma-os26250
お供えスタンド,16200,,4,1,200cm×150cm,一番スタンダードな御供えのスタンド花です。,ご葬儀 法事　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,基,os15750
お供えスタンド,21600,,4,1,200cm×150cm,御供えのスタンド花を２段にしました。,ご葬儀 法事　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,基,os21000
フラワーアレンジメント,3240,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a3150
フラワーアレンジメント,3780,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a3675
フラワーアレンジメント,4320,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a4200
フラワーアレンジメント,4860,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a4725
フラワーアレンジメント,5400,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a5250
フラワーアレンジメント,6480,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a6300
フラワーアレンジメント,5940,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a5775
フラワーアレンジメント,7560,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a7350
フラワーアレンジメント,8640,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a8400
フラワーアレンジメント,9720,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a9450
フラワーアレンジメント,10800,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a10500
フラワーアレンジメント,12960,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a12600
フラワーアレンジメント,16200,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a15750
フラワーアレンジメント,21600,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a21000
フラワーアレンジメント,27000,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a26250
フラワーアレンジメント,32400,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-a31500
花束,3240,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,t3150
花束,3780,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-h3675
花束,4320,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-h4200
花束,4860,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-h4725
花束,5400,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-h5250
花束,5940,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-h5775
花束,6480,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-h6300
花束,7560,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-h7350
花束,8640,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-h8400
花束,9720,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-h9450
花束,10800,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-h10500
花束,12960,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-h12600
花束,16200,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-h15750
花束,21600,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-h21000
花束,27000,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-h26250
花束,32400,,2,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,oma-h31500
1000円分ボリュームアップ,1080,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,円分,1000up
2000円分ボリュームアップ,2160,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,円分,2000up
3000円分ボリュームアップ,3240,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,円分,3000up
4000円ボリュームアップ,4320,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,円分,4000up
5000円分ボリュームアップ,5400,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,円分,5000up
6000円分ボリュームアップ,6480,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,円分,6000up
7000円分ボリュームアップ,7560,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,円分,7000up
8000円分ボリュームアップ,8640,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,円分,8000up
9000円分ボリュームアップ,9720,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,円分,9000up
10000円分ボリュームアップ,10800,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,円分,10000up
カサブランカ,1620,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,本で,vs-casab
赤バラ,432,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,本で,vs-rros
ピンクバラ,324,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,本で,vs-yrose
黄色バラ,324,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,本で,vs-prose
ピンクのユリ,1080,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,本で,vs-pink-lillie
花束,1080,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,束,ht
アレンジメント,1080,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,ar
胡蝶蘭,1080,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,鉢,ko
スタンド,16200,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,基,st
鉢物,1080,,1,1,,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,鉢,pl
黄色系グラスブーケ【花の南福花園オリジナル】,3729,,2,1,20cm×25cm,ブーケ風花束でグラスの花瓶付きです。贈る相手を選ばず花瓶の心配もいりません。黄オレンジ系花束,お誕生日祝い  結婚記念日祝い 結婚祝い 出産祝い 退職祝い 移転祝い 周年祝い　引っ越し祝い 楽屋見舞い お礼 ご挨拶 卒業祝い　カラー黄　黄バラ　オレンジバラ　ガーベラ,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,束,mt-122
アレンジメント　送料無料！即日出荷対応！,5400,,1,1,30cm×30ｃｍ,黄色の花でまとめたアレンジメントです。元気が出る色黄色お祝いにお見舞いに如何でしょうか。,御祝　お見舞い,1,1:1:1:::::::::1,0,1,9999,1,1,0,個,ar01-3101
アレンジメント【花の南福花園オリジナル】,3240,,1,1,25cm×30cm,黄色と緑の花を主に使用したアレンジメントです。,誕生日　記念日,1,1:1::::::::::1,0,1,9999,1,1,0,個,ar01-3104
黄色が際立つアレンジメント】送料無料】,5400,,1,1,30cm×30ｃｍ,やさしい黄色のバラ、ガーベラ、スイトピーの花で優しく作りました。ポイントのオンシジュームが可愛く春の花に蝶が集まってきたようなアレンジメントです。春の御祝花に如何ですか。,お見舞い　卒業祝い　入学祝,1,1:1:1:1::::::::,0,1,9999,1,1,0,個,ar02-0705
ピンクの豪華なアレンジメント【送料無料商品】,5400,,1,1,30cm×30ｃｍ,ピンクのチューリップ、ピンクのトルコ桔梗、ピンクのバラなどピンク系の花でまとめました。春はピンクが似合う！ボリュームたっぷりで新登場、即日出荷対応商品です。もちろん全国に送料無料でお届けいたします。,誕生日　開店祝い　卒業祝,1,1:1:1:::::::::1,0,1,9999,1,1,0,個,ar02-0705
ピンクのガーベラが可愛いアレンジメント【南福花園オリジナル】,3240,,1,1,25cm×25cm,春の季節の花、チューリップやスイトピーを使った可愛いアレンジメントです。福岡市近郊の即日配達にも対応商品です。14時までのご注文で即日発送いたします。,誕生日　入学式　卒業式,1,1:1:1:::::::::1,0,1,9999,1,1,0,個,ar02-1201
ピンクチューリップのアレンジメント【南福花園オリジナル】,3240,,1,1,25cm×30cm,春の花チューリップやスイトピー、ガーベラスプレーカーねションで作ったアレンジメントお祝いやお見舞いなどに最適です。価格も3150円とリーズナブル！,お見舞い　卒業祝い　入学祝,1,1:1:1:1::::::::1,0,1,9999,1,1,0,個,ar02-0702
情熱アレンジメント【送料無料商品】,5400,,1,1,40cm×40cm,赤が好きな人は情熱的！！赤い花でまとめました。ポイントのアンスリュームが魅力的に演出します。,御祝　開店祝い　誕生日,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,ar02-0706
オレンジ系でフレッシュ感覚のアレンジメント,3240,,1,1,25cm×25cm,オレンジカラーのリフレッシュ元気が出る色合いで新登場！春の御祝花に最適です。,卒業式　入学式　就任祝い,1,1:1:1:1::::::::,0,1,9999,1,1,0,個,ar02-0703
春色プリティアレンジメント　送料無料！,6480,,1,1,30cm×40ｃｍ,スクエアーな蓋付のバスケットにアレンジピンク系で可愛いアレンジメントです。,誕生日,1,1:1:1:::::::::1,0,1,9999,1,1,0,個,ar01-3102
アレンジメント【花の南福花園オリジナル】,3240,,1,1,25cm×25cm,紫のバラが上品なアレンジメントです。ビブルナム（べりー）の小さな実がワンポイントで可愛いです。,誕生日,1,1:1:1:::::::::1,0,1,9999,1,1,0,個,ar01-3001
カラフルお供えアレンジメント　送料無料！,6480,,1,1,50cm×40cm,菊などを使用したオーソドックスなお供えのアレンジメントです。,御供え,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,ar01-1701
ミディ胡蝶蘭白5本立ちお祝いラッピング　送料無料！即日出荷対応！,12960,,3,1,45×50cm,白のミディ系胡蝶蘭５本立ちです。お祝いのラッピングをあしらいました。どんなお祝いのご用途にも、心の伝わるギフトができます。14時までのご注文は最短で即日出荷対応。更に全国送料無料にてお届けいたします。,カラー白　開店祝い　周年祝　移転祝い　就任祝い　上場祝い　誕生日祝い　賀寿のお祝い　叙勲祝い　引っ越し祝い 　即日,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,鉢,ht-89
観葉植物,10800,,5,1,120cm×100cm,,,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,鉢,po24-040901
ミディ胡蝶蘭黄色風呂敷ラッピング緑オレンジ　送料無料！,7560,,3,1,25cm（W）×45cm（H）,かわいい黄色のミディの胡蝶蘭を日本古来の風呂敷で包みました。<br>贈り物に、また自宅飾りにいかがでしょうか。,ミディ胡蝶蘭　御祝い　カラー黄色　誕生日　,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,ht-409
ミディ　ピンク胡蝶蘭,5400,,3,1,（W）25cm×（H）45cm,お母さんによく似合うピンクのミディ胡蝶蘭です。母の日限定で上品な鉢にヘデラも一緒に植え込みました。花弁の縞模様が印象的です。,母の日　母の日胡蝶蘭　ピンクミディ胡蝶蘭,1,:::1:1:::::::,0,1,9999,1,1,0,個,haha24-003
ミディ胡蝶蘭　グラスシリーズピンク,6480,,3,1,（W）25cm×（H）55cm,ミディ胡蝶蘭のグラスシリーズ！お洒落で綺麗なピンクです。,胡蝶蘭　ピンクミディ胡蝶蘭,1,:::1:1:::::::,0,1,9999,1,1,0,個,haha24-010
アレンジメント【花の南福花園オリジナル】,3240,,1,1,25ｃｍ×25ｃｍ,ピンク赤系で、チューリップやスイトピー等の春の花のアレンジメントです。まだ寒い２月少しでも春を感じて頂ければ幸いです。,お見舞い　春の祝い花,1,1:1:1:::::::::1,0,1,9999,1,1,0,個,ar02-0202
御供スタンド花　送料無料！即日出荷対応！,10800,,4,1,200cm×150cm,季節により使用花材は変わります。<br>　　　価格は1基の金額です。1対の場合は2と入れてください。,ご葬儀 法事　カラーミックス,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,基,MH4301
アレンジメント,5400,,1,1,（W）30cm×（H）35ｃｍ,オレンジ系アレンジメント。元気が出る色オレンジ系でまとめました。,お見舞い　誕生日　記念日,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,ar24-051503
アレンジメント,3780,,1,1,（W）20cm×（H）35cm,クリアーなガラスのカップにカラーオアシスで上品に！お洒落なアレンジメントです。,誕生日　プレゼント　御祝,1,:::1:1:1::::::,0,1,9999,1,1,0,個,ar24-051504
フラワーアレンジメント【花の南福花園オリジナル】,4320,,1,1,30cm×20cm,シックな籠が目を引くフラワーアレンジメントです。淡い色使いも特徴的です。,お礼 ご挨拶 卒業祝い　,1,1:1:1:::::::::1,0,1,9999,1,1,0,個,mt-311
カサブランカのみのゴージャスフラワーアレンジメント　送料無料！,32400,,1,1,120cm×100cm,当店の扱う商品の中でも最大級のフラワーアレンジメントです。オリエンタルの白ユリのみを使用した大迫力のアレンジとなっております。白系フラワーアレンジメント,お誕生日祝い 　博多座　中洲　楽屋見舞い 叙勲祝い　お葬儀,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,mt-301
フラワーアレンジメント　送料無料！即日出荷対応！,21600,,1,1,100cm×80cm,当店の商品の中でもトップクラスの豪華なフラワーアレンジメントです。スクエアポットという木の器も豪華な中にシックな味わいです。赤系フラワーアレンジメント,お誕生日祝い  博多座　中洲 移転祝い 周年祝い　楽屋見舞い  叙勲祝ー赤　赤バラ　即日,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,mt-302
フラワーアレンジメント　送料無料！即日出荷対応！,10800,,1,1,70cm×50cm,スクエアポットという木の器に盛り付けました。使用した花材も赤バラとカスミ草なので豪華な仕上がりです。赤系フラワーアレンジメント,お誕生日祝い 中洲　博多座　 開店祝いい 就任祝い 退職祝い 移転祝い 周年祝い　楽屋見舞い お礼 ご挨拶 卒業祝い　賀寿 叙勲祝い　カラー赤　赤バラ　カスミ草　,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,mt-303
アレンジメント　即日出荷対応！,3240,,1,1,（W）30cm×（H）30ｃｍ,ピンク系の可愛いさの中にもオリエンタル系の百合を入れて優しさと豪華さにポイントを置いて作ったアレンジメントです。,誕生日　記念日,1,1:1:1:1::::::::,0,1,9999,1,1,0,個,ar24-042103
２色のスイトピーがガーリーな花束　送料無料！,5400,,2,1,30cm×30ｃｍ×40ｃｍ,スイトピーとカスミ草だけを使用した花束です。すごく可愛らしい仕上がりです。,お誕生日祝い  結婚記念日祝い 結婚祝い 出産祝い　開店祝い 上場祝い 就任祝い 退職祝い 移転祝い 周年祝い 引っ越し祝い 楽屋見舞い お礼 ご挨拶 卒業祝い　賀寿 叙勲祝い 季節春　カラー紫　ピンク　スイトピー　カスミ草,1,1:1:1:::::::::1,0,1,9999,1,1,0,束,ht-307
色とりどりの花々が秋を感じさせるフラワーアレンジメント　送料無料！,8640,,1,1,70cm×50cm,竜胆（リンドウ）がメインのフラワーアレンジメントです。秋らしい仕上がりとなっています。, 就任祝い 退職祝い 移転祝い 周年祝い 引っ越し祝い 楽屋見舞い お礼 ご挨拶 卒業祝,1,::::::1:1:1:1::,0,1,9999,1,1,0,個,mt-317
ケイトウがポイントとして引き立つフラワーアレンジメント　送料無料！,8640,,1,1,30cm×30ｃｍ,鶏頭（ケイトウ）と竜胆（リンドウ）がメインに入ったフラワーアレンジメントです。オリエンタル白ユリも入っているのでコンパクトな仕上がりでも豪華です。,結婚記念日祝い 結婚祝い 出産祝い,1,::::::1:1:1:1::,0,1,9999,1,1,0,個,mt-318
アレンジメント　送料無料！,5400,,1,1,（W）30cm×（H）30ｃｍ,ユリを入れたアレンジメント。蘭の花もいっぱい入って豪華です。開店祝いや移転祝いなどにいかがですか。,開店祝　移転祝,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,ar24-032801
ミディ胡蝶蘭白３本立ち　送料無料！即日出荷対応！,8640,,3,1,45×50cm,どんなご用途にもぴったりのミディ胡蝶蘭白３本立ちです。お祝い系のラッピングをあしらいました。14時までのご注文は最短で即日出荷対応。更に全国送料無料にてお届けいたします。,開店祝い 上場祝い 就任祝い 退職祝い 移転祝い 周年祝い　お誕生日祝い 結婚記念日祝い 結婚祝い 出産祝い 賀寿のお祝い 叙勲祝い  引っ越し祝い 楽屋見舞い お礼 ご挨拶 ,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,鉢,ht-86
寒さの中にしっかり春を感じるアレンジメント　送料無料！,5400,,1,1,（W）30cm×（H）30ｃｍ,春の息吹！猫柳に赤のチューリップ、赤バラなど赤系のアレンジメントです。,御祝　誕生日　開店祝い,1,1:1::::::::::1,0,1,9999,1,1,0,個,ar01-2402
チューリップが春を感じさせるアレンジメント　送料無料！,5400,,1,1,30cm×30ｃｍ,黄色のアレンジメント　元気が出る黄色でアレンジしました。お見舞いに如何ですか。,お見舞い,1,1:1:1:::::::::1,0,1,9999,1,1,0,個,ar01-1801
エレガントなピンク系フラワーアレンジメント　送料無料！,5400,,1,1,20cm×40cm,春のお花が器からはみだすほどのボリュームです。,お誕生日祝い  結婚記念日祝い 結婚祝　開店祝い ,1,1:1:1:::::::::1,0,1,9999,1,1,0,個,mt-313
豪華な洋花すっきりカラーのフラワーアレンジメント　送料無料！,21600,,1,1,70cm×50cm,グリーンでまとめたフラワーアレンジメントです。ワンポイントの胡蝶蘭が豪華です。,開店祝い 上場祝い　御供え,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,st-15
白上がり洋花フラワーアレンジメント　送料無料！,12960,,1,1,７０ｃｍ×７０ｃｍ,清楚な白の花でアレンジしました。お祝いに喜ばれています。,記念日　お盆　初盆　新盆　,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,mt-408
エレガントでふんわりしたフラワーアレンジメント　送料無料！,5400,,1,1,h300×w320,やさしくピンク系にまとめました。冬季のコンポートが上品に見せています。<br>ピンク系アレンジメント,お誕生日祝い  結婚記念日祝い 結婚祝い 出産祝い　退職祝い 移転祝い 周年祝い 引っ越し祝い 楽屋見舞い,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,MT-46
当店売れ筋！青がスパイスになったフラワーアレンジメント　送料無料！,5400,,1,1,w400×h400,ピンクオリエンタル系ゆりを入れ豪華にまとめました。<br>人気の商品です。ピンク系アレンジメント, 結婚記念日祝い 結婚祝い 開店祝い 移転祝い,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,MT-73
豪華なピンクのフラワーアレンジメント　送料無料！,10800,,1,1,w300×h280,ピンク系でまとめ、大きなつくりとなっています。ピンク系アレンジメント, 結婚祝い 出産祝い　開店祝い,1,1:1:1:1::::::::1,0,1,9999,1,1,0,個,MT-110
シンプルさがかわいらしいフラワーアレンジメント　送料無料！,5400,,1,1,30cm×30ｃｍ,白を基調にしたスタンダードな御供のフラワーアレンジメントです。,ご葬儀 法事　初盆,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,mt-811
大胆な造形が美しいフラワーアレンジメント　送料無料！,10800,,1,1,60×70cm,色とりどりの花を使用した、とっても華やかなフラワーアレンジメントです。企業の贈り物としてもとても喜ばれる商品です,開店祝い　誕生日　周年祝　,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,mt-409
個性豊かな色合いでどんなシーンにもマッチするフラワーアレンジメント　送料無料！,8640,,1,1,40cm×45cm,使用花材：シンビジューム、アンスリュームなどの洋花とバラのミックスで上品にアレンジしました。御祝やお見舞いなどに選ばれています。,退職祝い　栄転祝い　入社祝い　入学祝,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,mt-407
黄色と緑でフレッシュな色合いのフラワーアレンジメント　送料無料！,8640,,1,1,40cm×40cm,シンプルにグリーンと黄色系のアレンジメントです。<br>春先から初夏にかけて爽やかなイメージでお届けいたします。,御祝　お見舞い,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,mt-406
オリエンタル白ユリが２本も入ったお値打ちフラワーアレンジメント　送料無料！,5400,,1,1,30×50cm,オリエンタル系の白ユリをメインに使用したフラワーアレンジメントです。,退職祝い　送別会　歓迎会,1,1:1:1:::::::::1,0,1,9999,1,1,0,個,mt-402
オーソドックスなスタイルのお供えフラワーアレンジメント　送料無料！,8640,,1,1,60×70cm,菊を使った和風的な花　ご法事や御供えにどうぞ,お供え　法事　葬儀　周忌　初盆,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,mt-401
暖かみのあるオレンジ系花束　送料無料！,5400,,2,1,30×30×45cm,秋らしく、黄色オレンジ系でまとめました。<br>敬老の日の贈り物などに最適です。黄色、オレンジ系の花束,引っ越し祝い 楽屋見舞い お礼 ご挨拶 ,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,束,ht-314
白系でまとまった洋風フラワーアレンジメント　送料無料！,12960,,1,1,50cm（W）×80cm（H）,お供え用に白一色の花で作ったアレンジメントです。菊を使った和風の花材に白バラや白のアンスリュームなど洋風の花も入れて豪華なアレンジにしました。,お供え　初盆,1,1:1:1:1:1:1:1:1:1:1:1:1,0,1,9999,1,1,0,個,mt-405
